"id","published","category","sectionOrder","title","code","termCode","term","termLabel","programs","programTagsDisplay","credits","instructorName","instructorSlug","instructorUrl","subtitle","descriptionShort","descriptionMore","tstCode","format","meetingDay","meetingTime","syllabusUrl","requiredBooks","prerequisites","cstcArea","certificateTags","enrolmentNotes","registrationEmail","lastDateToRegister","maxEnrolment","partnerNote","updatedAt"
"icsd-260001-s25-4c9e4","FALSE","concentration-instr","","Called to Teach: Formation and Learning","ICSD 260001","S25","summer25","Summer 2025","cstc mael","MA-EL","3 Credits","Dr. Edith van der Boom","2","https://faculty.icscanada.edu/evanderboom","","*Called to Teach* is designed to inspire and support K-12 educators in their personal and professional journey of teaching and learning. Through this course, participants will explore their vocation as educators, reflecting on their teaching practice in the context of faith and spiritual disciplines. This inner journey invites educators to seek refreshment and renewal in their work while considering the formation and learning of their students.","The course aims to address these key questions:","","Blended (Online Asynchronous/Synchronous)","","","https://drive.google.com/file/d/1SQeub3v9KKwnTJ46psZziRJZbjDopwzZ/view?usp=sharing","Palmer, P. J. (2017). The courage to teach: Exploring the inner landscape of a teacher's life. Jossey-Bass
Smith, D. I. & Felch, S. M. (2016). Teaching and Christian imagination. Eerdmans.","","Area 4","CSTC","To register for this course, email academic-registrar@icscanada.edu. Last date to register April 18, 2025. Maximum enrolment of twelve (12) students. ICS reserves the right to decline registrations.","academic-registrar@icscanada.edu","","12","","2024-11-29"
"icsd-132504-260003-s25-74fc2","FALSE","concentration-admin","","Lead From Where You Are: Making a Difference in the Face of Tough Problems, Big Questions, and Organizational Politics","ICSD 132504 / 260003","S25","summer25","Summer 2025","cstc mael mws","MWS, MA-EL","3 Credits","Dr. Gideon Strauss","5","https://faculty.icscanada.edu/gstrauss","","Leadership is not about personality, authority, position, influence, or power as such. Leadership is an art, a craft, a practice, to which everyone is called sometime or other, in widely different situations. Leadership can be practiced with varying degrees of authority, from any position, at varying scales of influence, and with varying access to different sources of power. Leadership is the work of motivating a group of people to act in certain ways as they shape what they share.","In this course we will explore how to contribute leadership when we have a particular, recognized position of authority in a group, and also regardless of our position in a group. We will learn how to contribute leadership when our group has clear, commonly agreed-upon procedures and goals, and when there are not (or not yet) clear, commonly agreed-upon procedures and goals (so that we must practice imaginative discernment). We will learn how to contribute leadership both to make beneficial change happen and to ensure needed maintenance.","","Blended (Online Asynchronous/Synchronous)","","","https://drive.google.com/file/d/1_rXfWebHL6R1EuHNxunvpctswz0DSgDQ/view?usp=sharing","Crouch, A. *Strong and Weak: Embracing a Life of Love, Risk & True Flourishing.*2. Heifetz, R.A., Grashow, A. & Linsky, M. *The Practice of Adaptive Leadership: Tools and Tactics for Changing Your Organization and the World*.
Lencioni, P. *The Advantage: Why Organizational Health Trumps Everything Else in Business*.
Williams, D. *Real Leadership: Helping People and Organizations Face Their Toughest Challenges*.","","Area 2","CSTC","To register for this course, email academic-registrar@icscanada.edu. Last date to register April 18, 2025. Maximum enrolment of twelve (12) students. ICS reserves the right to decline registrations.","academic-registrar@icscanada.edu","","12","","2024-11-29"
"ics-223001-w25-322e6","FALSE","immersive","","Material Spirituality: Rethinking Religion","ICS 223001","W25","winter25","Winter 2025","ma phd","MA, PhD","3 Credits","Dr. Neal DeRoo","","https://faculty.icscanada.edu/neal-deroo","","This course will make the case that religion must be understood as shaping how we experience the world and not simply as a distinct kind of experience (e.g., religious experience v. artistic experience v. ethical experience). In doing so, the course will bring together work in religious studies, phenomenology of religion, phenomenological philosophy, secularism studies, and Continental philosophy of religion to show that religion is both constituted within historical and material conditions and is partly constitutive of those conditions. In that way, what it offers is not simply a materialist account of religion, but an account of material spirituality in which religion can be located and contextualized. Please note that the course will not assume prior familiarity with phenomenology.","","","","Tuesdays","6pm - 9pm ET","https://drive.google.com/file/d/1q-XY_t2iU9pLD-aEZ4hGy_h3pPgorWsb/view?usp=drive_link","","","","","","","","","","2024-10-09"
"rhetoric-as-philosophy-from-isoc-9d97e","FALSE","immersive","","Rhetoric as Philosophy from Isocrates to the Age of Abelard and Heloise","","","","","ma phd","MA, PhD","3 Credits","Dr. Bob Sweetman","1","https://faculty.icscanada.edu/bsweetman","","This seminar examines the ancient and medieval discipline of rhetoric and its practitioners' claim that it represents a properly philosophical discourse. It does so in terms of a selection of texts drawn from the works of Isocrates, Plato, Aristotle, Cicero, Augustine, Abelard and Heloise. In the process, it explores the relationship between affectivity and discursive validity as an implication of the cultural intent of philosophy, i.e., whether historical philosophies are best thought of as a speculative sciences, arts of right living, or whether they call out to be thought of in other terms altogether.","","","","","","https://drive.google.com/file/d/1NQSDVhuNuQGQmqYDFiJuFxunB10dieiW/view?usp=drive_link","","","","","","","","","","2024-10-09"
"ics-240811-w25-33cf2","FALSE","immersive","","God in Flesh and Blood: Revolutions in Christology","ICS 240811","W25","winter25","Winter 2025","ma phd","MA, PhD","3 Credits","Dr. Nik Ansell","1","mailto:nansell@icscanada.edu","","Although theologians often approach ""Christology"" by asking how Jesus of Nazareth might be best understood in terms of certain systematic concerns or doctrinal positions-a perspective that gives rise to questions such as: How are the divine and human natures of Christ related?, What are the merits of, or alternatives to, substitutionary atonement?, and How might a virginal conception thwart the transmission of original sin?-those who are more oriented to the discipline of ""biblical theology"" are more likely to prioritize how the New Testament portrayal of Jesus is related to the narrative movement-or movements-of the Hebrew Bible. This leads either to a different set of questions or (just as importantly) to a different angle on the kinds of questions asked above. This course, on potential revolutions in Christological thinking, will draw on contemporary NT scholarship in order to explore this latter approach.","To what extent do the OT themes of exile and return, old age and new age, help deepen our understanding of the birth and crucifixion of the Messiah? If the NT portrays the first followers of Jesus as worshipping him (and as doing so before and not just after the Resurrection), is it implicitly or explicitly calling us to worship Jesus's humanity as well as his divinity? Does Mary's encounter with Gabriel, who is a named presence in the Hebrew Bible/Old Testament only in the Book of Daniel, indicate that her conception of Jesus is to be read apocalyptically? Is it significant that Elizabeth initially greets Mary with words otherwise associated with Jael and Judith? These are some of the exegetical and theological questions we will consider in this engagement with issues at the edge, and at the heart, of contemporary Christology. Conversation partners will include: James Dunn (*Did the First Christians Worship Jesus?*), Jane Schaberg (*The Illegitimacy of Jesus)*, and N.T. Wright (*The Day the Revolution Began*).

Dr. Nik Ansell","ICT3201H","","Tuesdays","10am - 1pm ET","https://docs.google.com/document/d/e/2PACX-1vTaitMzLwsFvvOtrMivY-JEDtUm673hDCWKT7O91uTA-gP2AOhr3pZGVlTaijathnACRft5rbYNf3Ym/pub","As well, our US-based students can buy the book from Barnes & Noble.
""Students must purchase one of the following books but do not need to purchase both.""
OPTION A: James Dunn, Did the First Christians Worship Jesus? The New Testament Evidence (Louisville, NJ: Westminster John Knox Press, 2010).
They can also buy the eBook for $10 from Google Books.
Chapters/Indigo sells both the print book and eBook ($15.99, Kobo).
Barnes and Noble also sells both the print and eBook versions.
OPTION B: Jane Schaberg, The Illegitimacy of Jesus: A Feminist Theological Interpretation of the Infancy Narratives. Expanded Twentieth Anniversary Edition (Sheffield: Sheffield Phoenix Press, 2006).
Thriftbooks is another option.
Abebooks is another option.
Barnes and Noble also sells the print version.","NOTE: Completion of 1108AC or 2108AC is a prerequisite for enrolling in this course.*","","","Attention TST students: if you are interested in taking this course for credit, you must petition your college of registration to count the course credit toward your degree program.*","","","","","2024-10-09"
"ics-2105ac-w25-be0ac","FALSE","partnership","","Meaning/Being/Knowing: The Disciplinary and Interdisciplinary Implications of a Christian Ontology","ICS 2105AC","W25","winter25","Winter 2025","ma phd","MA, PhD","3 Credits","Dr. Nik Ansell","1","mailto:nansell@icscanada.edu","","""Meaning is the being of all that has been created and the nature even of our selfhood."" With these  enigmatic words, which form part of the introduction to his magisterial New Critique of Theoretical  Thought, the neo-Calvinist philosopher Herman Dooyeweerd signals his intention to de-centre the central  concern of Ontology by relativizing (which is to say thoroughly relating) the philosophical notion of Being to Meaning, even to the point of (re-)defining creation's being as meaning-all in the conviction  that this will enable us to engage in (rather than circumvent or supersede) the work of Ontology (and thus  Epistemology) in a truly systematic, integrally Christian, way. Although it might seem as though  Dooyeweerd is merely substituting one metaphysical idea for another, his reference to the nature of our  selfhood here indicates that, for all its theoretical import for Philosophical Anthropology, this highly  suggestive proposal also has profound implications for how we might both appreciate and pull upon our  deepest (religious) self-knowledge, which takes shape before the face of God as we face the world. To do  the work of Ontology well-to gain genuine insight into the ""nature of things"" and to identify the  contours and coherence of the world's general structures without undermining investigation or denaturing  experience-will require that we also draw upon a pre-theoretical form of Knowing, and a spiritual grounding and hope, that will always precede and exceed our understanding.","Implicit in Dooyeweerd's vision of and for Ontology, we might say, is the provocative claim that  creation does not ""have"" meaning but ""is"" meaning (a paraphrase that, tellingly, uses the language of  Being to relativize Being). But what does Dooyeweerd mean by ""meaning""? And what difference might this systematically relational, spiritually open, with-reference-to-self-and-beyond re-centering make (a) to  the detailed, nitty-gritty work that needs to be done in any given academic field, and (b) to the theoretical  integration that requires both intra- and inter-disciplinary reflection? After an opening discussion about  the phenomenon of ""post-truth,"" to which we shall return at the end of the course, we shall explore the  inter-play between Meaning, Being, and Knowing via a close reading of Hendrik Hart's Understanding  Our World: An Integral Ontology, paying careful attention to the ways in which his interpretation of Dooyeweerd's ideas-not least the discussion of ""meaning"" that occurs at the midpoint of his Appendix  (see 8.1.4) and in a pivotal section within his central chapter (see 4.4 and 405-406n37)-might deepen  our insight into how what is known in faith and articulated via our web of beliefs can help us identify and  evaluate the core concepts and the conceptual-ontological connections that play such an integral,  influential role in the scholarly disciplines with which we are engaged. In paying attention to develop ments in Hart's Ontology and Epistemology since the publication of this work, we shall also ask whether  the broadly Dooyeweerdian position he initially adopts is as post-metaphysical as it may first appear.

In this iteration of the course, we shall pay special attention to the central concerns of political theory and aesthetics, including their respective interests in the way we posit societal principles and protect, reveal, expand, and find ourselves via the symbols that make up the fabric of our life, history, and society. In further probing the relationship between the aesthetic and political dimensions of created meaning, and  between the mystery of our selfhood and the structural contours of reality, we shall also be asking what  the development of an Ontology in the Reformational tradition might offer to the scholarly search for  disciplinary integrity and interdisciplinary integration-this being a neo-Calvinism in which the unity and diversity we rightly seek are typically seen as covenantally, rather than ontotheologically, grounded.

Given this relational emphasis, we may well wonder what might happen if ""Being"" were to make way  for-or make a way for-""Loving."" Perhaps, following Dooyeweerd's (post-metaphysical?) turn to ""Meaning,"" we may find that a Christian scholarly approach to knowing and understanding our world and  ourselves ""after Being"" may have something new to say to the peril and promise of life ""post-truth""!

Dr. Nik Ansell","","","Wednesday","6:00 - 9:00pm ET","https://docs.google.com/document/d/e/2PACX-1vTIuv2Jh6amiInQqP2l7RttSeAMOElNZ4vmM2AZMQrSQSi99Ap3gSYk06Fl5tjfVvcF8qAk4vOTy9bB/pub","Jeffrey Dudiak, Post-Truth? Facts and Faithfulness (Amazon CA)
King's University bookstore website
Directly from the publisher, Wipf & Stock
There are options from Abebooks as well
Hendrik Hart, Understanding Our World: An Integral Ontology (Lanham, MD: University Press of America, 1984).
Buy directly from the publisher, Rowman & Littlefield (print only)
Used copies are available on Abebooks
Used copies are also available on eBay
Barnes and Noble sells it in the US
Thriftbooks sells it
Students *may *be able to access an electronic version of this title through the Internet Archive when they're logged in.","NOTE: Completion of 1107AC or 2107AC is a prerequisite for enrolling in this course.*","","","Attention TST students: if you are interested in taking this course for credit, you must petition your college of registration to count the course credit toward your degree program.*","","","","In Partnership with Calvin University","2024-10-09"
"icsd-260004-w25-ec9bf","FALSE","concentration-instr","","Deeper Learning: From Wonder to Inquiry to Practice","ICSD 260004","W25","winter25","Winter 2025","cstc mael","MA-EL","3 Credits","Dr. Edith van der Boom","2","https://faculty.icscanada.edu/evanderboom","","","","","Blended (Online Asynchronous/Synchronous)","","","https://docs.google.com/document/d/e/2PACX-1vT7tquK4SkiNYQVfGTspZ-hsC6VTHtfIhSuhnUzzkhwFl35RNYUjdaPCCn8v64teQ/pub","Crouch, A. (2008). Culture Making: Recovering our Creative Calling. InterVarsity Press.
Google Books sells it as an eBook
Students can buy the book directly through the publisher, InterVarsity Press.
Barnes and Noble also sells the book.","","Area 3","CSTC","To register for this course, email academic-registrar@icscanada.edu. Last date to register is January 6 (Note that the first class for this course takes place on January 9). Maximum enrolment of twelve (12) students. ICS reserves the right to decline registrations.","academic-registrar@icscanada.edu","January 6","12","","2024-07-02"
"how-to-govern-a-school-fc261","FALSE","concentration-admin","","How to Govern a School","","","","","mael","MA-EL","3 Credits","Dr. Gideon Strauss","5","https://faculty.icscanada.edu/gstrauss","","","","","","","","https://drive.google.com/file/d/18ZiWxCMNjUUGl8Y6eHfTvP0Gtno6yWRz/view?usp=drive_link","Blanchard, D., Crouch, A., Kauffmann, S., Nardella, J.L., Greer, P. (2019). The redemptive nonprofit: A playbook for leaders. Praxis.
Brown, J. (2010). The imperfect board member: Discovering the seven disciplines of governance excellence. John Wiley & Sons.
Carver, J. (2011). Boards that make a difference: A new design for leadership in nonprofit and public organizations. Third Edition. John Wiley & Sons.","","","","To register for this course, email academic-registrar@icscanada.edu. Last date to register is January 6 (Note that the first class for this course takes place on January 9). Maximum enrolment of twelve (12) students. ICS reserves the right to decline registrations.","academic-registrar@icscanada.edu","January 6","12","","2024-07-02"
"the-radical-theopoetics-of-john-a5c34","FALSE","immersive","","The Radical Theopoetics of John D. Caputo","","","","","ma mws phd","MA, MWS, PhD","3 Credits","","","","","This seminar will explore John D. Caputo's Theopoetics, a ""weak theology"" of narratives, prayers and praise in response to the call of God in contrast to a ""strong"" theology of predicative claims about the existence and nature of God.","Dr. Jim Olthuis
ICS 150907 / 250907 F24","","","Tuesdays","6pm - 9pm EST","https://docs.google.com/document/d/1QRjFyA5a-Ku9ysCNtw93L0hMo9Sjk0wRTf-XZm5liKA/edit?usp=sharing","","","","","To register for this course, email academic-registrar@icscanada.edu. Last date to register September 13, 2024. ICS reserves the right to decline registrations.
Attention TST students: if you are interested in taking this course for credit, you must petition your college of registration to count the course credit toward your degree program.*","academic-registrar@icscanada.edu","","","","2024-06-26"
"ics-1108ac-2108ac-f24-53408","FALSE","concentration-instr","","Biblical Foundations: Narrative, Wisdom, and the Art of Interpretation","ICS 1108AC / 2108AC","F24","fall24","Fall 2024","cstc ma mael mws phd","CSTC, MA, MA-EL, MWS, PhD","3 Credits","Dr. Nik Ansell","1","https://faculty.icscanada.edu/nansell","","How can we read and experience the Scriptures as the Word of Life in the midst of an Academy that believes the biblical witness will restrict human freedom and thwart our maturity? How may we pursue biblical wisdom as we ""re-think the world"" when our Christian traditions seem convinced that biblical truth may be disconnected from-or simply applied to-the most pressing and perplexing issues of our time?

This course will explore the Bible-from Genesis to Revelation-as the ongoing story of and for God and all God's creatures, paying special attention to the way in which humanity's attempt to find its way is interwoven with the story of the Divine presence and with the wisdom and promise of creation-new creation. In asking whether and how the biblical story may find its future in our ongoing narratives, we will attempt to identify which hermeneutical methods and sensitivities might help us discern its significance for present day life, including the academic enterprise.

If Jesus is the Living Word at the heart of Scripture, does that change our understanding of where biblical truth is coming from and where it is going? Does the Bible have an implicit, sapiential pedagogy that we have misconstrued? Can the familiar Reformed themes of creation and covenant, election and eschaton speak to us in new, reformational ways? These are some of the questions we shall explore together as we reintroduce ourselves to the biblical writings.","","","","Wednesdays","6:00-9:00pm ET","https://docs.google.com/document/d/1c2JWADPlgrzXjodGHKFqLz0_MyA4hOQy/edit?usp=sharing&amp;ouid=100038326117470711477&amp;rtpof=true&amp;sd=true","","","Area 1","CSTC","To register for this course, email academic-registrar@icscanada.edu. Last date to register is September 13, 2024. ICS reserves the right to decline registrations.
Attention TST students: if you are interested in taking this course for credit, you must petition your college of registration to count the course credit toward your degree program.*","academic-registrar@icscanada.edu","September 13, 2024","","","2024-06-03"
"cultivating-learning-communities-5a49c","FALSE","concentration-admin","","Cultivating Learning Communities of Belonging","","","","","cstc mael","CSTC, MA-EL","3 Credits","Dr. Edith van der Boom","2","https://faculty.icscanada.edu/evanderboom","","This is a course for instructional leaders and administrators considering school and classroom cultures. Course content will include attention to social and cultural contexts, racial justice, Indigenous perspectives, human sexuality, restorative practices, and how these topics impact and form school and classroom cultures.","This course seeks to help students find clarity in answers to the following questions:","","","","","https://drive.google.com/file/d/1p-eWMNrgE4QaPXMRF-iXfCvW0ljz_7x_/view?usp=sharing","","","","CSTC","Dr. Edith van der Boom
ICSD 260008 F24*
Blended (Online Asynchronous/Synchronous)

(MA-EL)

Syllabus

Enrolment Notes:
To register for this course, email academic-registrar@icscanada.edu. Last date to register is September 6 (Note that the first class for this course takes place on September 12).  Maximum enrolment of twelve (12) students. ICS reserves the right to decline registrations.

Approved for Area 2 or 3 of the CSTC*","academic-registrar@icscanada.edu","September 6","12","","2024-06-03"
"ics-220508-f24-0358c","FALSE","immersive","","Philosophy at the Limit: Richard Kearney","ICS 220508","F24","fall24","Fall 2024","ma phd","MA, PhD","3 Credits","","","","","A study of Kearney's trilogy *Philosophy at the Limit* as well as his *Anatheism*, focusing on his exploration of that ""frontier zone where narratives flourish and abound."" Participants will examine Kearney's attempt to sketch a narrative eschatology that draws on the work of Heidegger, Levinas, Derrida, and Ricoeur.","","","","Thursdays","2:00-5:00pm ET","https://docs.google.com/document/d/1Ox4eq8Clm9An3S5ETvD1bVWs_LiXBfYw/edit?usp=sharing&amp;ouid=100038326117470711477&amp;rtpof=true&amp;sd=true","","","","","To register for this course, email academic-registrar@icscanada.edu. Last date to register is September 13, 2024. ICS reserves the right to decline registrations.
Attention TST students:* if you are interested in taking this course for credit, you must petition your college of registration to count the course credit toward your degree program.","academic-registrar@icscanada.edu","September 13, 2024","","","2024-06-03"
"ics-120801-220801-f24-745ec","FALSE","immersive","","Facing the Darkness: The (Human) Nature of Evil","ICS 120801 / 220801","F24","fall24","Fall 2024","ma mws phd","MA, MWS, PhD","3 Credits","Dr. Nik Ansell","1","https://faculty.icscanada.edu/nansell","","In this interdisciplinary theology seminar, we shall probe the origin and nature of evil by engaging key biblical, philosophical, psychological, and anthropological resources. Central to our discussions will be a sapiential (wisdom-oriented) re-reading of the Fall narrative of Genesis 3-4, set against the backdrop of the good, yet largely wild, creation of Genesis 1-2. In addition to surveying a variety of contemporary theodicies read up against the challenge offered by both ""protest atheism"" and the biblical lament literature (especially the book of Job), we shall also pay special attention to the correlation between victim and agent in the ongoing dynamics to ""original sin"" and to the concomitant role of fear in the construction of culture. In attending to evil's (arguably) anthropocentric origin as a key to its present nature-which will prompt us to revisit our understanding of the primordial conditions of possibility along with the largely overlooked biblical connections between the Satan and the absolutization (and denaturing) of Justice-we shall also look ahead, via pondering the relationship between law and grace, to the promise of a (divine and human) judgment unto salvation.","","ICT3352H","","Tuesdays","10:00am-1:00pm ET","https://docs.google.com/document/d/1mR5sj5yIQJ7kWxOTGBqSi6zQoS920eRT2JfzEaUiutc/edit?usp=sharing","","","","","To register for this course, email academic-registrar@icscanada.edu. Last date to register is September 13, 2024. ICS reserves the right to decline registrations.
Attention TST students: if you are interested in taking this course for credit, you must petition your college of registration to count the course credit toward your degree program.*","academic-registrar@icscanada.edu","September 13, 2024","","","2024-06-03"
"ics-1107ac-2107ac-f24-08883","FALSE","partnership","","Religion, Life, and Society: Reformational Philosophy","ICS 1107AC / 2107AC","F24","fall24","Fall 2024","ma mws phd","MA, MWS, PhD","3 Credits","Dr. Neal DeRoo","","https://faculty.icscanada.edu/neal-deroo","","An exploration of central issues in philosophy, as addressed by Herman Dooyeweerd, Dirk Vollenhoven, and the ""Amsterdam School"" of neoCalvinian thought. The course tests the relevance of this tradition for recent developments in Western philosophy. Special attention is given to critiques of foundationalism, metaphysics, and modernity within reformational philosophy and in other schools of thought.","","","","Tuesdays","2:00-5:00pm ET","https://docs.google.com/document/d/18CfHF7ef0kohpH4w8xUZuk3H1pF7ZD9J/edit?usp=sharing&amp;ouid=100038326117470711477&amp;rtpof=true&amp;sd=true","","","","","To register for this course, email academic-registrar@icscanada.edu. Last date to register is September 13, 2024. ICS reserves the right to decline registrations.","academic-registrar@icscanada.edu","September 13, 2024","","In Partnership with Calvin University","2024-06-03"
"the-aesthetics-of-compassion-d67cf","FALSE","immersive","","The Aesthetics of Compassion","","","","","ma mws phd","MA, MWS, PhD","3 Credits","Dr. Rebekah Smick","4","https://faculty.icscanada.edu/rsmick","","The emotion of ""pity"" (*eleos*) or ""compassion"" is at the heart of Athenian tragedy, the great forbear of Western tragic drama. For Aristotle, creating feelings of pity and fear in an audience was thought to provoke a catharsis of those emotions that enabled a positive moderation of our passionate natures. But, as George Steiner has observed, the subject matter of tragedy places those emotions in a register beyond the ordinary. As fundamental human responses to extraordinary human suffering, they signal the ""core of dynamic negativity"" that underwrites authentic tragedy. Raising the problem of human pain and fragility in the face of circumstances potentially beyond human control, representations of human suffering have a metaphysical and, more particularly, theological dimension that has long provoked philosophical interest in the dynamics of tragic drama. In this course, we will examine the interface between philosophy and works of tragic drama as that interface pertains to the psychology and aesthetics of compassion. Looking to such writers as Plato, Aristotle, Seneca, Augustine, Dante, Shakespeare, Dostoevsky, Friedrich Nietzsche and Simone Weil, we will investigate the place of compassion in Western philosophy and theology and the roles that art and imagination have played in the stimulation of compassionate response.","","","","Thursdays","10:00am-1:00pm ET","https://docs.google.com/document/d/1IFV2Pk4nNIOxpzaYnuIbi2pXm9G5XpCe/edit?usp=sharing&amp;ouid=100038326117470711477&amp;rtpof=true&amp;sd=true","","","","","Dr. Rebekah Smick
ICS 120104 / 220104 F24
ICH5751HF L0101*
Remote (Online Synchronous)
Thursdays, 10:00am-1:00pm ET

(MWS, MA, PhD)

Syllabus

Enrolment Notes:
To register for this course, email academic-registrar@icscanada.edu. Last date to register is September 13, 2024. ICS reserves the right to decline registrations.
Attention TST students:* if you are interested in taking this course for credit, you must petition your college of registration to count the course credit toward your degree program.","academic-registrar@icscanada.edu","September 13, 2024","","","2024-06-03"
"the-craft-of-reflective-practice-99acb","FALSE","concentration-instr","","The Craft of Reflective Practice","","","","","cstc mael mws","CSTC, MA-EL, MWS","3 Credits","","","","","We humans make sense of things by telling stories. In this course we will learn how to do critical reflective practice, primarily by telling stories about our everyday professional lives. We will zoom in on the story of an ordinary day at work, and then zoom out to the story of our career to date, zoom out further to the story of our work community, and zoom out even further to the overarching story of God's world. In the process we will learn qualitative research skills, receive an introduction to phenomenology (the philosophical study of lived experience), develop our own approach to praxis (that is, the craft of morally-oriented, theoretically-informed, and theory-generating critically reflective practice), and, most significantly, come to terms with who we are in what we do.","","","","","","https://docs.google.com/document/d/1a9X7Fy3tVIkGVzqLco25ZGkp8yrEKPwgdFy_uGtSLxQ/edit?usp=sharing","","","","CSTC","ICSD 132501 / 232501 F24*
Blended (Online Asynchronous/Synchronous)

(MA-EL, MWS)

Syllabus

Enrolment Notes:
To register for this course, email academic-registrar@icscanada.edu. Last date to register is September 6 (Note that the first session for this course takes place on September 12). Maximum enrolment of twelve (12) students. ICS reserves the right to decline registrations.

Approved for Area 2 of the CSTC*","academic-registrar@icscanada.edu","September 6","12","","2024-04-04"
"icsd-132904-232904-s24-52a2d","FALSE","immersive","","God of Solidarity: Liberation Theology as Social Movement","ICSD 132904 / 232904","S24","summer24","Summer 2024","ma mws phd","MWS, MA, PHD","3 Credits","","","","","In the latter half of the 20th century, a wave of liberation movements swept across the globe as colonized and exploited people undertook seismic struggles for self-determination. These movements had a profound influence not only on global politics, but also on intellectual trends and the political left, for whom ""the masses"" took on new significance and previous orthodoxies seemed out of step with the times. Theology was no exception, and from the 1970s on Christian theology would not only reinterpret itself through the lens of liberation around the world, but would also become a primary organizing force in the struggle for liberation.","While liberation theology is often studied for its doctrinal content, it is irreducibly social, historical, and political, emerging from and accountable to people's movements. As a result, liberation theology was also severely disciplined by ecclesial and political power brokers. In this class, we will consider liberation theology in historical perspective, specifically in its Latin American expressions, examining its relationship to a revolution in global Christianity and revolutions in various political contexts. We will also consider the papacy of Pope Francis, looking at the rehabilitation of several liberation theologians since 2013, with an eye toward the future and legacy of liberation theology in the 21st century.","","","Mondays & Wednesdays","7pm - 9pm ET","https://drive.google.com/file/d/11-pKxUyoWfWmdJp-8k-7q72Xjpqx1LWh/view?usp=sharing","","","","","To register for this course, email academic-registrar@icscanada.edu. Last date to register is June 17, 2024. ICS reserves the right to decline registrations.
Attention TST students:* if you are interested in taking this course for credit, you must petition your college of registration to count the course credit toward your degree program.","academic-registrar@icscanada.edu","June 17, 2024","","","2024-04-03"
"ics-153303-253303-s24-a4b43","FALSE","immersive","","State, Society, and Religion in Hegel's Philosophy","ICS 153303 / 253303","S24","summer24","Summer 2024","ma mws phd","MA, MWS, PhD","3 Credits","Dr. Andrew Tebbutt","","https://faculty.icscanada.edu/andrew-tebbutt","","This course explores the interrelation of political, social, and religious life in the philosophy of G. W. F. Hegel. Readings will be drawn from Hegel's lectures on art and religion, as well as his works Elements of the Philosophy of Right and Phenomenology of Spirit. We will explore the political and social conditions of human experience through the lens of what Hegel calls ""objective spirit,"" focusing in particular on how our freedom as self-conscious beings is enabled and supported by the domains of ethical life, law, and civil society. We will also explore Hegel's account of the human engagement in ""absolute spirit,"" here attending to the distinctive practices of art and religion, and to how these practices are interwoven with social and political life. We will also consider Hegel's role in the historical construction of the modern West's category of religion, and on what is involved in thinking about religion and religious difference (and Hegel's philosophy itself) beyond Eurocentrism.","","","","Tuesdays & Thursdays","1 pm - 3 pm ET","https://docs.google.com/document/d/1jf5RIsSMSMMRhotWRKOI85X9Mixoyv_U/edit?usp=sharing&amp;ouid=100038326117470711477&amp;rtpof=true&amp;sd=true","","","","","To register for this course, email academic-registrar@icscanada.edu. Last date to register May 3, 2024. Maximum enrolment of twelve (12) students. ICS reserves the right to decline registrations.
Attention TST students: if you are interested in taking this course for credit, you must petition your college of registration to count the course credit toward your degree program.*","academic-registrar@icscanada.edu","","12","","2024-02-24"
"art-religion-and-theology-art-abbad","FALSE","immersive","","Art, Religion, and Theology (ART)","","","","","cstc ma mws phd","CSTC, MA, MWS, PhD","3 Credits","Dr. Rebekah Smick","4","https://faculty.icscanada.edu/rsmick","","*ART in Orvieto* is an advanced summer studies program in art, religion, and theology located in Orvieto, Italy, a magnificent hill town 90 minutes north of Rome. The program offers an ecumenical exploration of Christian understandings of the arts. It provides a three weeks residency designed for artists, graduate students in relevant fields, and other adult learners interested in engaging the intersection of art, religion, and theology.","For further details, please see the dedicated ART in Orvieto webpage.

Intensive, July 14 - August 3, 2024

Orvieto, Italy

(MWS, MA, PhD)

Art, Religion, and Theology: Theologies of Art in the Christian Tradition","","","","","","","","Area 4","CSTC","Instructions on how to apply are available on the program page. March 31, 2024 is the application deadline for courses in the ART in Orvieto summer program. ICS reserves the right reject applications when the maximum capacity has been reached.","","","","","2024-02-21"
