id,published,sectionOrder,title,code,term,programs,credits,instructorName,instructorUrl,subtitle,descriptionShort,descriptionMore,tstCode,format,meetingDay,meetingTime,syllabusUrl,requiredBooks,prerequisites,cstcArea,certificateTags,enrolmentNotes,registrationEmail,lastDateToRegister,maxEnrolment,updatedAt
cultivating-learning-communities-5a49c,TRUE,,Cultivating Learning Communities of Belonging,260008,fall26,mael cstc,3 Credits,Dr. Edith van der Boom,https://faculty.icscanada.edu/evanderboom,,"This is a course for instructional leaders and administrators considering school and classroom cultures. Course content will include attention to social and cultural contexts, racial justice, Indigenous perspectives, human sexuality, restorative practices, and how these topics impact and form school and classroom cultures.","This course seeks to help students find clarity in answers to the following questions:
- What is the relationship between the daily behaviour of educational leaders and the cultures of schools?
- How do we awaken our students’ knowledge, creativity, and critical reflective capacities in our schools and classrooms?
- How do racism and other forms of oppression underlie achievement gaps and alienation within our schools?
- How can classroom learning be linked to larger movements seeking to effect change in the community?
- How can school culture be a vehicle for social change?
- How do we cultivate learning communities of belonging in our schools?",,Blended (Online Asynchronous/Synchronous),,,https://docs.google.com/document/d/e/2PACX-1vQoHOj7DIq4QyuY32aCpBF3ywktzkUEyJRaf2g05sckHjgJKLbumL1KyBx0E3jfJcW9xwGKLn89ThdI/pub,"Freire, P. (2018). Pedagogy of the oppressed: Fiftieth anniversary edition. Bloomsbury Academic. (Note: Any edition of this book is acceptable for use in this course.)

Smith, D. I. (2018). On Christian teaching: Practicing faith in the classroom. William B. Eerdmans Publishing Company.",,Areas 2 and 3,CSTC,"To register for this course, email academic-registrar@icscanada.edu. Last date to register is September 8 (Note that the first class for this course takes place on September 10). Maximum enrolment of twelve (12) students. ICS reserves the right to decline registrations.",academic-registrar@icscanada.edu,2026-09-08 0:00:00,12,2026-05-19
god-sex-word-flesh-gender-theo-58266,TRUE,,"God/Sex/Word/Flesh: Gender, Theology, and the Body",220804,fall26,ma phd,3 Credits,Dr. Nik Ansell,https://faculty.icscanada.edu/nansell,,"How is our agenda for theology related to our gender? Is “God” a male word? Is the “Word made Flesh” a male God? Does the experience of women change how God is (made) known? Is sexuality—are sexualities—embraced by the resurrection? Attentive to the work of feminist theologians, biblical scholars, and philosophers, we will attempt to develop an “embodied” theology open to the biblical vision that God will be “all in all.”","In addition to engaging several well-established works of theoretical and textual liberation (by Rosemary Radford Ruether, Phyllis Trible, Susan Bordo, and others), participants in this iteration of God/Sex/Word/Flesh will also have the opportunity to respond to a recent fictional or autobiographical contribution to the discussion, such as Naomi Alderman’s The Power or Janet Mock’s Redefining Realness.",ICT5220HS L0101 / L9101,Online Synchronous,Tuesdays,10am - 1pm,https://docs.google.com/document/d/e/2PACX-1vR_d_QN5onixTs8qpBqJmtFmcBSeCma8swHwTIA6pbB_50PTOREZOPoFltE4EFoFH3_ZkgZMUFNxorc/pub,,,,,Attention TST students: you have to contact the ICS Registrar to complete your registration.,,,,2026-05-19
1108ac-2108ac-f26-53408,TRUE,,"Biblical Foundations: Narrative, Wisdom, and the Art of Interpretation",1108AC / 2108AC,fall26,ma mael mws phd cstc,3 Credits,Dr. Nik Ansell,https://faculty.icscanada.edu/nansell,Hermeneutics for Christian Practice,How can we read and experience the Scriptures as the Word of Life in the midst of an Academy that believes the biblical witness will restrict human freedom and thwart our maturity? How may we pursue biblical wisdom as we “re-think the world” when our Christian traditions seem convinced that biblical truth may be disconnected from—or simply applied to—the most pressing and perplexing issues of our time?,"This course will explore the Bible—from Genesis to Revelation—as the ongoing story of and for God and all God’s creatures, paying special attention to the way in which humanity’s attempt to find its way is interwoven with the story of the Divine presence and with the wisdom and promise of creation-new creation. In asking whether and how the biblical story may find its future in our ongoing narratives, we will attempt to identify which hermeneutical methods and sensitivities might help us discern its significance for present day life, including the academic enterprise. If Jesus is the Living Word at the heart of Scripture, does that change our understanding of where biblical truth is coming from and where it is going? Does the Bible have an implicit, sapiential pedagogy that we have misconstrued? Can the familiar Reformed themes of creation and covenant, election and eschaton speak to us in new, reformational ways? These are some of the questions we shall explore together as we reintroduce ourselves to the biblical writings.",ICB2010H L6201,Online Synchronous,Wednesdays,6:00-9:00pm ET,https://docs.google.com/document/d/e/2PACX-1vQtKs3TGBntS_Ev0-sTLN8p8EJt8chHXISuipR-K17z84HTY-FKVc35TfJGzgKoyQ/pub,,,Area 1,CSTC,"To register for this course, email academic-registrar@icscanada.edu. Last date to register is September 11. ICS reserves the right to decline registrations.
Attention TST students: if you are interested in taking this course for credit, you must petition your college of registration to count the course credit toward your degree program.*",academic-registrar@icscanada.edu,September 11,,2026-05-19
1107ac-2107ac-f26-aa35b,TRUE,,"Religion, Life and Society: Reformational Philosophy",1107AC / 2107AC,fall26,ma mws phd,3 Credits,Dr. Neal DeRoo,https://faculty.icscanada.edu/neal-deroo,,"An exploration of central issues in philosophy, as addressed by Herman Dooyeweerd, Dirk Vollenhoven, and the “Amsterdam School” of neoCalvinian thought. The course tests the relevance of this tradition for recent developments in Western philosophy. Special attention is given to critiques of foundationalism, metaphysics, and modernity within reformational philosophy and in other schools of thought.",,,Remote (Online Synchronous),Tuesdays,6:00-9:00pm ET,https://docs.google.com/document/d/e/2PACX-1vTGfwncC2XAk-EpJMw1wiHEcx9WJRmkJgLshTDifepxBiITX7mBM-Bnsm7tVol0fg/pub,"Vollenhoven, D. H. T. Introduction to Philosophy. Sioux Center, Iowa: Dordt College Press, 2005. ISBN 978-0-932914-65-1. [ICS Library Reserve Shelf: BD28.V65a 2005]. Must be purchased.
Purchasing links: Amazon CA
- Also available through 21five website, or
- Chapters/Indigo website.",,,,"To register for this course, email academic-registrar@icscanada.edu. Last date to register is September 11. ICS reserves the right to decline registrations.",academic-registrar@icscanada.edu,September 11,,2026-05-19
enrique-dussel-and-the-philosoph-a696e,TRUE,,Enrique Dussel and the Philosophy and Ethics of Liberation,122904 / 222904,summer26,ma mws phd,3 Credits,Dr. Dean Dettloff,mailto:ddettloff@icscanada.edu,,"Dubbed the “Hegel of Coyoacán,” referring to the Nahuatl name for a neighborhood in Mexico City, Enrique Dussel (1934-2023) produced an impressive body of work in dialogue with a wide range of philosophical, theological, and other voices across history and geography. Thinking from the context of Latin America, Dussel grounds his philosophy and ethics in the materiality of human beings, specifically those who are excluded from the world system of capitalist globalization, modernity, and Eurocentric epistemology. Critically engaging traditions from phenomenology and Critical Theory to pragmatism and communitarianism, Dussel consistently identifies how European and Anglophone philosophy, even in its progressive and radical voices, routinely fail to account for colonialism as a distinct, world-defining process, holding back their ability to authentically understand or philosophize about the realities of people outside their geographical contexts, the majority of the global population. For Dussel, philosophy must contribute to the liberation of oppressed people, dismantling systems of domination and contributing to material alternatives. This course explores two foundational texts in Dussel’s oeuvre, Philosophy of Liberation, published in 1977 shortly after his exile from Argentina to Mexico, and Ethics of Liberation, his magnum opus, both of which provide opportunities to also critically examine other philosophers including Karl Marx, Rosa Luxemburg, Charles Taylor, Emmanuel Levinas, Alisdair MacIntyre, and more.",,,Online Intensive,Dates June 8 to July 13; Mondays and Wednesdays,7-9pm ET,,,,,,"To register for this course, email academic-registrar@icscanada.edu. (Note that the first class for this course takes place on -). Maximum enrolment of twelve (12) students. ICS reserves the right to decline registrations.",academic-registrar@icscanada.edu,,12,2026-02-10
1107ac-2107ac-s26-8cf84,TRUE,,What's Christian About Christian Education?: Reformational Philosophy,1107AC / 2107AC,summer26,mael mws cstc,3 Credits,Dr. Neal DeRoo,https://faculty.icscanada.edu/neal-deroo,Reformational Philosophy of Education,"This course will offer you an opportunity to reflect about what it means to teach or educate “Christianly.” It will situate a Reformational understanding of Christian education within two distinct types of “context”: first, the “spirits of the age” that are at work influencing our shared modern, Canadian society; and second, the local context of the school you work at. The ‘spiritual’ context will help us see Christian education as an alternative, not simply to “secular” education, but to other patterns of spiritual formation, like consumerist education or workaholic education. The ‘local’ context will then allow us to discuss how Christian education can be ‘put to work’ in your day-to-day activities as a teacher or administrator. The goal is to give you time, space, and resources to develop a clearer understanding of how faith impacts education in general, and how your faith shapes what you do as an educator more specifically.",,,Remote (Online Synchronous/Asynchronous),"Thursday, April 23, 2026, 6:15 - 9:15 pm ET; Thursday, May 7, 2026, 6:15 - 9:15 pm ET; Thursday, May 21, 2026, 6:15 - 9:15 pm ET; Tuesday, August 11, 2026, 1 - 4 pm ET; Wednesday, August 12, 2026, 1 - 4 pm ET; Thursday, August 13, 2026, 1 - 4 pm ET",,https://docs.google.com/document/d/e/2PACX-1vSWEAAI6XIAU9H8nJORN9zRMTlJfkUwJ5SolL-2nuWK_ZMzzG80txTkztguhQFsZg/pub,,,Area 2,CSTC,"To register for this course, email academic-registrar@icscanada.edu. Last date to register April 17, 2026. Maximum enrolment of twelve (12) students. ICS reserves the right to decline registrations.",academic-registrar@icscanada.edu,2026-04-17 0:00:00,12,2026-02-10
132504-260003-s26-74fc2,TRUE,,"Lead From Where You Are: Making a Difference in the Face of Tough Problems, Big Questions, and Organizational Politics",132504 / 260003,summer26,mael mws cstc,3 Credits,Dr. Gideon Strauss,https://faculty.icscanada.edu/gstrauss,MA-EL Administration Concentration,"Leadership is not about personality, authority, position, influence, or power as such. Leadership is an art, a craft, a practice, to which everyone is called sometime or other, in widely different situations. Leadership can be practiced with varying degrees of authority, from any position, at varying scales of influence, and with varying access to different sources of power. Leadership is the work of motivating a group of people to act in certain ways as they shape what they share.","In this course we will explore how to contribute leadership when we have a particular, recognized position of authority in a group, and also regardless of our position in a group. We will learn how to contribute leadership when our group has clear, commonly agreed-upon procedures and goals, and when there are not (or not yet) clear, commonly agreed-upon procedures and goals (so that we must practice imaginative discernment). We will learn how to contribute leadership both to make beneficial change happen and to ensure needed maintenance.",,Blended (Online Asynchronous/Synchronous),"Thursday, April 23, 2026, 6:30 - 9:30 pm ET; Thursday, May 7, 2026, 6:30 - 9:30 pm ET; Thursday, May 21, 2026, 6:30 - 9:30 pm ET; Tuesday, August 11, 2026, 1 - 4 pm ET; Wednesday, August 12, 2026, 1 - 4 pm ET; Thursday, August 13, 2026, 1 - 4 pm ET",,https://docs.google.com/document/d/e/2PACX-1vSsGdf9Vt6teVn2P7FjXx1Go5Ll905SwKgKCfPX0s1dBwVfaeqq-9NONezfy7nIjR14dc4ngbIIjZqA/pub,"1. Crouch, A. *Strong and Weak: Embracing a Life of Love, Risk& True Flourishing.*2. Heifetz, R.A., Grashow, A. & Linsky, M.*The Practice of Adaptive Leadership: Tools and Tactics for Changing Your Organization and the World*.

3. Lencioni, P. *The Advantage: Why Organizational Health Trumps Everything Else in Business*.

4. Williams, D. *Real Leadership: Helping People and Organizations Face Their Toughest Challenges*.",,Areas 2 and 4,CSTC,"To register for this course, email academic-registrar@icscanada.edu. Last date to register April 17, 2026. Maximum enrolment of twelve (12) students. ICS reserves the right to decline registrations.",academic-registrar@icscanada.edu,2026-04-17 0:00:00,12,2026-02-10
260004-s26-73624,TRUE,,Christian Deeper Learning: From Wonder to Inquiry to Practise,260004,summer26,mael mws cstc,3 Credits,Dr. Edith van der Boom,https://faculty.icscanada.edu/evanderboom,MA-EL Instructional Concentration,"Christian Deeper Learning: From Wonder to Inquiry to Practise* is a course that seeks to help Christian educators develop their understanding and application of deeper learning. We will consider what it means to be image-bearers of God called to care for our neighbours and to be engaged in real work that is part of God’s story. Considering these ideas will inform classroom practices and signature pedagogies in apparent, unintended, and even transformative ways. Together we will examine the importance of global citizenship as a form of Christian Deeper Learning and the impact it has on developing a caring and just world.",,,Blended (Online Asynchronous/Synchronous),Tuesdays July 14 - Aug 10,12-3pm ET,https://docs.google.com/document/d/e/2PACX-1vRRa8qrt8UAyey5SwUZjg8F1_xfoJdpZoCXNSnoS7k8rxA_H_7uuhF3_WHWqnq9sbhebl8zaHA89ykj/pub,"1. Crouch, A. (2008). Culture Making: Recovering our Creative Calling. InterVarsity Press.

Google Books sells it as an eBook

Students can buy the book directly through the publisher, InterVarsity Press.

Barnes and Noble also sells the book.",,Area 3,CSTC,"To register for this course, email academic-registrar@icscanada.edu. (Note that the first class for this course takes place on - ). Maximum enrolment of twelve (12) students. ICS reserves the right to decline registrations.",academic-registrar@icscanada.edu,,12,2026-02-10
260001-s26-baf70,FALSE,,Called to Teach: Formation and Learning - CANCELLED April 1st,260001,summer26,mael mws cstc,3 Credits,Dr. Edith van der Boom,https://faculty.icscanada.edu/evanderboom,Cancelled - Contact Registrar,"CANCELLED *Called to Teach* is designed to inspire and support K-12 educators in their personal and professional journey of teaching and learning. Through this course, participants will explore their vocation as educators, reflecting on their teaching practice in the context of faith and spiritual disciplines. This inner journey invites educators to seek refreshment and renewal in their work while considering the formation and learning of their students.","The course aims to address these key questions:
- What is my calling as an educator?
- How can I intentionally live out my calling in teaching and leadership?",,Blended (Online Asynchronous/Synchronous),"Thursday, April 23, 2026, 6:15 - 9:15 pm ET; Thursday, May 7, 2026, 6:15 - 9:15 pm ET; Thursday, May 21, 2026, 6:15 - 9:15 pm ET; Tuesday, August 4, 2026, 1 - 4 pm ET; Wednesday, August 5, 2026, 1 - 4 pm ET; Thursday, August 6, 2026, 1 - 4 pm ET",,,"1. Palmer, P. J. (2017).The courage to teach: Exploring the inner landscape of a teacher’s life. Jossey-Bass

2. Smith, D. I. & Felch, S. M. (2016). Teaching and Christian imagination. Eerdmans.",,Area 4,CSTC,"To register for this course, email academic-registrar@icscanada.edu. Last date to register April 17, 2026. Maximum enrolment of twelve (12) students. ICS reserves the right to decline registrations.",academic-registrar@icscanada.edu,2026-04-17 0:00:00,12,2026-02-10
nietzsche-foucault-and-the-gen-a98b2,TRUE,,"Nietzsche, Foucault, and the Genealogical Approach to the History of Philosophy",120406 / 220406,winter26,ma phd,3 Credits,Dr. Bob Sweetman,https://faculty.icscanada.edu/bsweetman,,"This seminar examines that philosophical approach to the history of philosophy that travels under the name of “genealogy”. It does so in terms of selected texts of the tradition’s to major figures: its founder, Friederich Nietzsche and the presently ubiquitous Michel Foucault. It examines the role that genealogical study of the history of philosophy has in the philosophical construction of its practitioners and what they think is truly first and deepest in the history they so study.",,ICH5710,Remote (Online Synchronous),Thursdays,10am - 1pm,https://docs.google.com/document/d/e/2PACX-1vT3KuDvbQiZTh8D5k-qydNHASPElogMpiZ7Rzx_oUvmDIWpY189CY_Y2RuyjPhxWA/pub,"1. Friedrich Nietzsche, The Genealogy of Morals (any edition will do)

2. Paul Rabinow ed., The Foucault Reader (New York, Pantheon, 1984)",,,,Attention TST students: you have to contact the ICS Registrar to complete your registration.,,,,2025-07-18
icsd-260005-w26-5e4c1,TRUE,,"How to Coach A Strong Team: Leading People, Building Institutional Capacity, and Securing Accountability",260005,winter26,mael,3 Credits,Dr. Gideon Strauss,https://faculty.icscanada.edu/gstrauss,MA-EL Administration Concentration,"*How to Coach A Strong Team*is a course for current and aspiring school administrators who want to cultivate their people skills. The course will focus on the competencies involved in having crucial conversations and coaching colleagues for professional development purposes, while also providing opportunities for learning about the competencies relevant to talent acquisition and employment termination. The backbone of the course will be a series of meditations (in the Reformational philosophical tradition) on being human: imaging God in the world.*How to Coach A Strong Team* is a remote learning course consisting of six synchronous sessions including three school visits and a debriefing session with an expert practitioner, thirteen weeks of asynchronous online interaction, and the writing of a playbook by each student taking the course for credit. All of the synchronous sessions will be by means of online video, with the possible exception of one of the school visits. The exception may include an on-site, in-person option as part of a hybrid package, depending on circumstances. Team auditors will have access to five of the six synchronous sessions (including the school visits and the expert practitioner debriefing) and a team audit study guide for reading and talking through the course materials in their team contexts.",,,Blended (Online Asynchronous/Synchronous),,,,"Kaye, B., & Giulioni, J. W. (2019). Help Them Grow Or Watch Them Go: Career Conversations Organizations Need and Employees Want (2nd ed.). Berrett-Koehler Publishers.

Grenny, J., Patterson, K., McMillan, R., Switzler, A., & Gregory, E. (2022). Crucial conversations (3rd ed.). McGraw Hill.

Levy, S., & Cook, J. (2021). Beautiful Work notecatcher [Unpublished manuscript].

Stanier, M. B. (2016). The coaching habit: Say less, ask more & change the way you lead forever. Box of Crayons Press.

*One further required book (Seerveld, C. (1988). On Being Human: Imaging God in a Modern World. Welch Publishing Co.) will be mailed from the ICS library due to limited availability*",,,,"To register for this course, email academic-registrar@icscanada.edu. Last date to register January 2, 2026. Maximum enrolment of nine (9) students. ICS reserves the right to decline registrations.",academic-registrar@icscanada.edu,2026-01-02 0:00:00,9,2025-07-18
icsd-260006-w26-0f8b9,TRUE,,Transformative Teaching: The Practice of Christ-Centred Education,260006,winter26,mael cstc,3 Credits,Dr. Edith van der Boom,https://faculty.icscanada.edu/evanderboom,MA-EL Instructional Concentration,"*Transformative Teaching* is a course for instructional leaders as they consider their roles as Christian educators called to be transformers of society and culture by seeking justice for those who are marginalized and disenfranchised. In this course we will consider constructivism (a dominant educational theory in the twenty-first century that informs student-centred pedagogies such as Project Based Learning) through the lens of Scripture and investigate the assumptions that it makes. We will explore our calling as Christian educators to transform culture in our schools, local community, and the world.","This course seeks to help Christian educators find clarity in answers to the following questions:
- Context: Who am I called to be as a Christian educator in my particular place and time?
- Constructivism: How does constructivism inform my practice?
- Culture: What role does education play in creating culture?",,Blended (Online Asynchronous/Synchronous),,,,"- Palmer, P. J. (1993). To know as we are known: Education as a spiritual journey.

HarperOne.

Amazon CA, Barnes & Noble.
- Smith, D. I. (2025). Everyday Christian Teaching: A Guide to Practicing Faith in the Classroom. Wm. B. Eerdmans Publishing Co.

Amazon CA, Barnes & Noble.",,Area 2,CSTC,"To register for this course, email academic-registrar@icscanada.edu. Last date to register January 2, 2026. Maximum enrolment of twelve (12) students. ICS reserves the right to decline registrations.
Approved for Area 2 of the CSTC*",academic-registrar@icscanada.edu,2026-01-02 0:00:00,12,2025-07-18
pragmatism-race-and-religion-7adc5,TRUE,,"Pragmatism, Race, and Religion",120501 / 220501,winter26,ma mws phd,3 Credits,Dr. Ron Kuipers,https://faculty.icscanada.edu/rkuipers,,"Pragmatism is a philosophical tradition born in the United States and now influential worldwide. At its core, it is a way of thinking about the human condition between past and future: we inherit the traditions that shape us, yet remain open to creative and hopeful new possibilities. This course examines how Pragmatism has interacted with—and been shaped by—the religious traditions that form part of its cultural context.","Students will explore questions such as:
- How do the passions and moral commitments of Pragmatism connect with religious concerns?
- How does the pragmatic claim that ideas are measured by their practical consequences relate to religious belief, moral life, and community?
- How does Pragmatism’s suspicion of traditional “supernaturalist” theology influence how we think about God, religion, and human responsibility?
- What have pragmatists proposed as faithful and responsible ways for religious communities to live within a democratic society?

A central focus of the course will be the question of race. We will study how the Black experience in America has shaped the evolution of Pragmatist thought, especially through the tragic, absurdist, and hopeful tones of the Blues. The course will explore how Black Pragmatists both affirm and challenge the melioristic hope often associated with American Pragmatism.

By the end of the course, students will be able to:
- Analyze key texts from major Pragmatist thinkers—both White and Black—and explain their views on religion and democratic life;
- Explain how race has influenced the development of Pragmatism as a philosophical tradition;
- Evaluate the strengths and limitations of Pragmatism for understanding religious belief and practice;
- Reflect critically on the relationship between White and Black Christianity in America;
- Discuss how Pragmatism sheds light on issues such as colonialism, White supremacy, and identity in pluralistic democracies.

Ultimately, this course invites students to consider how Pragmatism can help us navigate divided societies, imagine more just futures, and attend to the stories that shape human communities.",ICT3771/ICT6771,Online Synchronous,Thursdays,2pm - 5pm ET,https://docs.google.com/document/d/e/2PACX-1vT1toA7HjWjzetjjQRMSUrcqAiNFH9w3IiJ5Efe7pAa8EFwmIS0ZvPl26emSEAL-w/pub,"1. Dewey, John. 1934. A Common Faith. New Haven: Yale University Press (120 pages). Students are required to purchase a copy of this book for the course. Please note that online copies do exist for free, including this one. For students who wish to buy a print or eBook copy, Amazon CA sells the paperback for $30 CAD, or the Kindle edition for $13 CAD. Indigo also sells the paperback for $25.

2. Du Bois, W.E.B. 2017. The Souls of Black Folk, with The Talented Tenth” and “The Souls of White Folk.” New York: Penguin. (272 pages). Students must purchase a copy of this text. Please note it is widely available online, including on the Internet Archive and Project Gutenberg. Students will also readily find used paperback copies of this text at bookshops.

For students wishing to purchase copies, Indigo sells several different editions, including the 2008 paperback for $15 CAD. Amazon CA sells both Kindle and paperback; the paperback edition is $10 CAD. Students will also readily find used paperback copies of this text at bookshops.

3. James, William. 1956. The Will to Believe: Human Immortality and Other Essays in Popular Philosophy. New York: Dover. (70 pages). Students must purchase a copy of this text. Please note it is widely available online, including at the Internet Archive or Project Gutenberg. Amazon CA sells the print edition for $14 CAD. Indigo sells the print edition for $16 CAD. Both Amazon and Indigo sell eBook versions as well.",,,,"To register for this course, email academic-registrar@icscanada.edu. Last date to register January 9, 2026. Maximum enrolment of nine (9) students. ICS reserves the right to decline registrations.
Attention TST students: you have to contact the ICS Registrar to complete your registration.*",academic-registrar@icscanada.edu,2026-01-09 0:00:00,9,2025-07-18
ids-the-post-truth-the-un-trut-5dbc8,TRUE,,"IDS: The Post-Truth, the Un/Truth, and Nothing but the Truth: Contemporary Anxieties and Present Possibilities",2400AC,winter26,ma phd,3 Credits,Neal DeRoo and Nik Ansell,https://faculty.icscanada.edu,,"From what was the Oxford Dictionary’s “international word of the year” in 2016 to a term that allegedly defines an era in which we now live, this course will seek to understand and evaluate the phenomenon that is “post-truth” and the anxieties—but also the possibilities—that it represents. We will take a close look at works in the Western philosophical tradition often thought to be responsible for the undermining of “truth” alongside key texts that some believe can help us think critically about truth once again—even as their critics worry that these same works “thin out” our view of truth thereby contributing to the problems we face!","Figures and approaches covered include: Parmenides, Plato, Kierkegaard, Nietzsche, Heidegger, Derrida, Baudrillard, feminist theory, the Gospel of John, Jeff Dudiak, Hendrik Hart, Michel Henry, and Lambert Zuidervaart.",,Online Synchronous,Tuesdays,6pm - 9pm,,"1. Walt Anderson, **The Truth about Truth: De-Confusing and Re-Constructing the Postmodern World**

Amazon CA (paperback) | Indigo (paperback) | Barnes & Noble (paperback)

2. Jeffery Dudiak, **Post-Truth? Facts and Faithfulness**

Amazon CA (paperback, Kindle) | Indigo (paperback, Kobo) | Wipf & Stock (publisher website) | Barnes & Noble (paperback)

3. Michel Henry, **I Am the Truth: Toward a Philosophy of Christianity**

Amazon CA (paperback) | Indigo (paperback) | Barnes & Noble (paperback)",,,,,,,,2025-07-18
ics-223001-w26-ede6c,TRUE,,Issues in Phenomenology: Life,223001,winter26,ma phd,3 Credits,Dr. Neal DeRoo,https://faculty.icscanada.edu/neal-deroo,Phenomenology Seminar * Topic: Life,"The theme of this year’s “Issues in Phenomenology” seminar will be ‘life’. As a concept, life figures prominently in the most basic tenets of phenomenological thought (lived experience; lifeworld; etc.). Yet it is itself rarely thematized as a key phenomenological concept. This course will examine this theme–the meaning of life (in phenomenology)-- drawing especially on the works of Renaud Barbaras, Jacques Derrida, and Michel Henry. The goal will be to uncover how to talk about what lies at the very basis of our experiencing of the world, and ultimately to put that into conversation with related themes from Reformational thought like spirituality, ground motives, and world view.",Note: This course does not require any prior familiarity with phenomenology.,ICT5791,Online Synchronous,Wednesdays,4pm - 7pm ET,https://docs.google.com/document/d/e/2PACX-1vS7Wte-qP6y8M2JgXKtg2OSzQn_gGJlFBqevktx74_IIsSeAl2cP9K83H4c_lMeol9VOOSzd12eUHWM/pub,"1. Jacques Derrida, **Voice and Phenomenon: Introduction to the Problem of the Sign in Husserl's Phenomenology** \-
- Amazon CA, print and Kindle editions available.
- Publisher website, paperback and ebook options available.

2. Renaud Barbaras, **Introduction to a Phenomenology of Life**
- Amazon CA has both paperback and Kindle editions available.
- Publisher website, paperback and ebook options available.

3. Vernon W. Cisney, **Derrida’s Voice and Phenomenon**
- Amazon CA has both paperback and Kindle editions available — please note, there may be shipping delays if purchasing the print edition.
- Publisher website, paperback and ebook options available.",,,,"To register for this course, email academic-registrar@icscanada.edu. Last date to register January 9, 2026. ICS reserves the right to decline registrations.
Attention TST students: you have to contact the ICS Registrar to complete your registration. *",academic-registrar@icscanada.edu,2026-01-09 0:00:00,,2025-07-18
ics-2105ac-w26-be0ac,TRUE,,Meaning/Being/Knowing: The Disciplinary and Interdisciplinary Implications of a Christian Ontology,2105AC,winter26,ma phd,3 Credits,Dr. Nik Ansell,https://faculty.icscanada.edu/nansell,In Partnership with Calvin University,"“Meaning is the being of all that has been created and the nature even of our selfhood.” With these enigmatic words, which form part of the introduction to his magisterial New Critique of Theoretical Thought, the neo-Calvinist philosopher Herman Dooyeweerd signals his intention to de-centre the central concern of Ontology by relativizing (which is to say thoroughly relating) the philosophical notion of Being to Meaning, even to the point of (re-)defining creation’s being as meaning—all in the conviction that this will enable us to engage in (rather than circumvent or supersede) the work of Ontology (and thus Epistemology) in a truly systematic, integrally Christian, way. Although it might seem as though Dooyeweerd is merely substituting one metaphysical idea for another, his reference to the nature of our selfhood here indicates that, for all its theoretical import for Philosophical Anthropology, this highly suggestive proposal also has profound implications for how we might both appreciate and pull upon our deepest (religious) self-knowledge, which takes shape before the face of God as we face the world. To do the work of Ontology well—to gain genuine insight into the “nature of things” and to identify the contours and coherence of the world’s general structures without undermining investigation or denaturing experience—will require that we also draw upon a pre-theoretical form of Knowing, and a spiritual grounding and hope, that will always precede and exceed our understanding.","Implicit in Dooyeweerd’s vision of and for Ontology, we might say, is the provocative claim that creation does not “have” meaning but “is” meaning (a paraphrase that, tellingly, uses the language of Being to relativize Being). But what does Dooyeweerd mean by “meaning”? And what difference might this systematically relational, spiritually open, with-reference-to-self-and-beyond re-centering make (a) to the detailed, nitty-gritty work that needs to be done in any given academic field, and (b) to the theoretical integration that requires both intra- and inter-disciplinary reflection? After an opening discussion about the phenomenon of “post-truth,” to which we shall return at the end of the course, we shall explore the inter-play between Meaning, Being, and Knowing via a close reading of Hendrik Hart’s Understanding Our World: An Integral Ontology, paying careful attention to the ways in which his interpretation of Dooyeweerd’s ideas—not least the discussion of “meaning” that occurs at the midpoint of his Appendix (see 8.1.4) and in a pivotal section within his central chapter (see 4.4 and 405–406n37)—might deepen our insight into how what is known in faith and articulated via our web of beliefs can help us identify and evaluate the core concepts and the conceptual-ontological connections that play such an integral, influential role in the scholarly disciplines with which we are engaged. In paying attention to develop ments in Hart’s Ontology and Epistemology since the publication of this work, we shall also ask whether the broadly Dooyeweerdian position he initially adopts is as post-metaphysical as it may first appear.

In this iteration of the course, we shall pay special attention to the central concerns of political theory and aesthetics, including their respective interests in the way we posit societal principles and protect, reveal, expand, and find ourselves via the symbols that make up the fabric of our life, history, and society. In further probing the relationship between the aesthetic and political dimensions of created meaning, and between the mystery of our selfhood and the structural contours of reality, we shall also be asking what the development of an Ontology in the Reformational tradition might offer to the scholarly search for disciplinary integrity and interdisciplinary integration—this being a neo-Calvinism in which the unity and diversity we rightly seek are typically seen as covenantally, rather than ontotheologically, grounded.

Given this relational emphasis, we may well wonder what might happen if “Being” were to make way for—or make a way for—“Loving.” Perhaps, following Dooyeweerd’s (post-metaphysical?) turn to “Meaning,” we may find that a Christian scholarly approach to knowing and understanding our world and ourselves “after Being” may have something new to say to the peril and promise of life “post-truth”!",,Online Synchronous,Wednesday,6:00 - 9:00pm ET,,"1. Jeffrey Dudiak, *Post-Truth? Facts and Faithfulness* (Eugene, OR: Wipf and Stock, 2022).

Amazon CA, Barnes & Noble.

2. Henk Hart, *Understanding Our World: An Integral Ontology* (Lanham, MD: University Press of

America, 1984).

Amazon CA has some used copies in hardcover that are more affordable than the paperback. If ordering a print copy, please order this book as soon as possible because there will be shipping delays both due to the upcoming holiday season as well as shipping from outside of Canada. Thriftbooks may sell copies. Abebooks sells used copies.",NOTE: Completion of 1107AC or 2107AC is a prerequisite for enrolling in this course.,,,"Attention TST students: if you are interested in taking this course for credit, you must petition your college of registration to count the course credit toward your degree program.*",,,,2025-07-18
